,text,label
0,ana fil ghorba w sout el athan ahla haja aijbitni saha likom ou allah yarahmou sbouai,3
1,man eheb rasoule mohamed,3
2,rabi yerhmou sofiane chaari,3
3,rabi yarahmak ya sbouai wou yarham kol om mita,3
4,merci beaucoup salime,1
5,tomson et banane,1
6,2020 winkom hh,3
7,chkoun kaaed ytfrj fi ekhr nhar taa 2019,3
8,ahh alah yarhmou,3
9,31 decembre 2019 naamkom mabrouk nés lkoll,3
10,belehi noumrou lhalka,3
11,saha bitch hh,4
12,lwataniya lyoum be like,4
13,chkoun jy mn ras 2020,3
14,2004 de choufli hal une bonne partie,1
15,chkoun bch yetfarej alih ghodwaa hh,3
16,2020 yaaml lik hh,3
17,qui aime choufli hal laik,4
18,qui love sbouai allah yarhmou jem,4
19,mezelna madghanech lil 2020,3
20,rourou aamalouli abonner mela,3
21,éli yhébe rabi yhote lake,3
22,men mestir inti,3
23,chkoun yheb sbouai yaamel abonne lel cont dyeli,3
24,j aime beaucoup sbouai et j ai été très malheureuse quand il est mort,1
25,yé hasra,3
26,alah yarhmou w enaamou sbouai,3
27,hot jaime ida thaib sboui,3
28,lah yarhmek sofiane chaari sbouai tahiya min algérie nmout ala choufli hal kamla,3
29,allah yarahmik ya sboui ili yheb sboui yhot jaime,3
30,allah yarahmik ya sboui,3
31,rabi yarhméke y a sbouai éli yhébou yhôte lake,3
32,wlh ahla mosalsel,3
33,chron eli yab sboi se lui qui leme fait un layer,4
34,allah yarahmek yalkhoo,3
35,wahdik ya sbouai allh yrhmik bravo pour toujours choufli hal,3
36,yahahamke,3
37,ili yhb choufli hal yaamel j aime,3
38,ahla mousalsel,3
39,tfarajt aliih foukk 5 maratt,3
40,taw mech el tigani ga yaadi aan sliman,3
41,choufli,3
42,ili yheb choufli hal ydayer jem,3
43,alahi yarhmek ya sofien echeari,3
44,allah yarhemk a sbouai,3
45,allah yarhmk y sofyan chaari,3
46,allh y a rhmek,3
47,rabi yarhmek y rhmek,3
48,chkoun ytfrg aout 2019,3
49,rabi yarhmek ya sbouai,3
50,alah yarhmek ya sbouai,3
51,allah yarhmou,3
52,allah yarmik ya sboui et kadiga,3
53,waaw,3
54,allah yarhmek yasofien ahla moumathel fi tunis w khir min kamel twati el maset,3
55,bravo toop,1
56,raby yarhmou,3
57,mahleha lamma,3
58,alh yrhmk ya sofyn,3
59,allah yarahmek sabaouna,3
60,aminn,3
61,alah yarahmek ya sbouai,3
62,alla yarahmek ye sbouai kadekch iddahek,3
63,nitfarig alih min lzaz,3
64,ana toujour netfarege fih,3
65,echaon yetfaraj fi 2020,3
66,the best of the best rabi yhrmek sabaoun,3
67,bravo,1
68,rabi yarhmou sabaoun ahsene momatel tounsi,3
69,allah yarhmou slimenne,3
70,sabaoun ya katcout alla yarhmek,3
71,allah yarhmek ya sabaoun,3
72,aadit tol aomry natfrj fi chof hal w aomry mani badh nansh w dim naawd fih w mafdtch mano,3
73,tbarkallah ala zaineb,3
74,à la yarhmik,3
75,allah yarahmik,3
76,cvn lbs alikom nes lkol,3
77,ala yarahme,3
78,rabi yfathalek,3
79,rabi yarhmou,3
80,yekhi mouch aka chouha esanaa taa mohsen lmoukaouel wakteli janet tged fl balas wlh houa,3
81,amine,3
82,allh yarhmik ya sofyen,3
83,allah yarhamhom sofwen el chaari kadija esouwisi,3
84,allah yarhmek ya sboui,3
85,kol aam w houma hayyin balf alf khir nw rabbi yirhmik ya sabaoun w yijaal mithwebik il janna yarabbi nemin,3
86,me non arbie i love chfli hal have good yers,4
87,allah yarhmo w ynaamo,3
88,hh matansawach layk,3
89,bilehi chkoun fhem chnya maktoub fil warka li khaletha zinouba l slimen yfahemni hh,3
90,ni parce que tounsi ama mawloud w naiche fi fransa meli ena touled w kol sif nji vacances fi tounes,3
91,hh tawa slimen may najamech ibadel chemise fi darou mechi yofrek feha howa w dadou,3
92,lea katlou w nkordhellk zeeda hh,3
93,mapanha,3
94,mhlha,3
95,akkari hh wmtwathaa zeda,3
96,bravo marwoucha 3,3
97,ahla marwa 3,3
98,tatati mahlek 3,3
99,mahleha,3
100,isalem kraytek fi masreh,3
101,c vrai klemek marwa walah lemra etheb etra rouha mezyena walaw nhar,3
102,natnak aala atrann,3
103,mahlek marwa,3
104,manajem nkolek kan rabi iberek,3
105,baklewa,3
106,flower,2
107,mabannek ya marwa el ageerbi zyent mahla khachmek,3
108,mahlek,3
109,mehleeha je l adore depuis longtemps,3
110,mahleha w kadechha cincere w spontané thebbl,3
111,mahlaha,3
112,akhlek aalia,3
113,dhahkethe ki peka,3
114,machala aleha adorable,3
115,et surtout bnetik,1
116,ena nraha fi barnemej mounawaaat ale carthage plus haja de qualité masab,3
117,mahlaha elle est très spontanée,4
118,mahleeha tbarkallah zin w thakafa w khfifet rouh,3
119,maret chkoun kenet,3
120,mahleha farouha,3
