,text,label
0,ana fil ghorba w sout el athan ahla haja 3ijbitni saha likom ou allah yarahmou sbou3i,3.0
1,man eheb rasoule mohamed,3.0
2,rabi yerhmou sofiane cha3ri,3.0
3,rabi yarahmak ya sbou3i wou yarham kol om mita,3.0
4,merci beaucoup salime,1.0
5,tomson et banane,1.0
6,2020 winkom hh,3.0
7,chkoun 9a3ed ytfrj fi e5r nhar ta3 2019,3.0
8,ahh alah yarhmou,3.0
9,31 decembre 2019 n3amkom mabrouk nés lkoll,3.0
10,belehi noumrou l7al9a,3.0
11,sa7a bitch hh,4.0
12,lwataniya lyoum be like,4.0
13,chkoun jy mn ras 2020,3.0
14,2004 de choufli hal une bonne partie,1.0
15,chkoun bch yetfarej 3lih ghodwaa hh,3.0
16,2020 ya3ml lik hh,3.0
17,qui aime choufli hal laik,4.0
18,qui love sbou3i allah yarhmou jem,4.0
19,mezelna mad8anech lil 2020,3.0
20,rourou a3malouli abonner mela,3.0
21,éli y7ébe rabi y7ote lake,3.0
22,men mestir inti,3.0
23,chkoun y7eb sbou3i ya3mel abonne lel cont dyeli,3.0
24,j aime beaucoup sbou3i et j ai été très malheureuse quand il est mort,1.0
25,yé 7asra,3.0
26,alah yar7mou w ena3mou sbou3i,3.0
27,hot jaime ida thaib sboui,3.0
28,lah yarhmek sofiane cha3ri sbou3i tahiya min algérie nmout ala choufli hal kamla,3.0
29,allah yarahmik ya sboui ili yheb sboui yhot jaime,3.0
30,allah yarahmik ya sboui,3.0
31,rabi yar7méke y a sbou3i éli y7ébou y7ôte lake,3.0
32,wlh a7la mosalsel,3.0
33,chron eli yab sboi se lui qui leme fait un layer,4.0
34,allah yarahmek yalkhoo,3.0
35,wahdik ya sbou3i allh yrhmik bravo pour toujours choufli hal,3.0
36,yahahamke,3.0
37,ili y7b choufli 7al ya3mel j aime,3.0
38,a7la mousalsel,3.0
39,tfarajt 3liih foukk 5 maratt,3.0
40,taw mech el tigani ga y3adi 3an sliman,3.0
41,choufli,3.0
42,ili yheb choufli hal ydayer jem,3.0
43,alahi yar7mek ya sofien eche3ri,3.0
44,allah yarhemk a sbou3i,3.0
45,allah yar7mk y sofyan cha3ri,3.0
46,allh y a rhmek,3.0
47,rabi yar7mek y r7mek,3.0
48,chkoun ytfrg aout 2019,3.0
49,rabi yarhmek ya sbou3i,3.0
50,alah yar7mek ya sbou3i,3.0
51,allah yarhmou,3.0
52,allah yarmik ya sboui et kadiga,3.0
53,waaw,3.0
54,allah yar7mek yasofien a7la moumathel fi tunis w 5ir min kamel twati el maset,3.0
55,bravo toop,1.0
56,raby yar7mou,3.0
57,mahleha lamma,3.0
58,alh yr7mk ya sofyn,3.0
59,allah yarahmek sab3ouna,3.0
60,aminn,3.0
61,alah yarahmek ya sbou3i,3.0
62,alla yarahmek ye sbou3i 9adekch iddahek,3.0
63,nitfarig 3lih min lzaz,3.0
64,ana toujour netfarege fih,3.0
65,ech3on yetfaraj fi 2020,3.0
66,the best of the best rabi yhrmek sab3oun,3.0
67,bravo,1.0
68,rabi yarhmou sab3oun ahsene momatel tounsi,3.0
69,allah yarhmou slimenne,3.0
70,sab3oun ya katcout alla yarhmek,3.0
71,allah yarhmek ya sab3oun,3.0
72,3adit tol 3omry natfrj fi chof hal w 3omry mani badh nansh w dim na3wd fih w mafdtch mano,3.0
73,tbarkallah 3la zaineb,3.0
74,à la yarhmik,3.0
75,allah yarahmik,3.0
76,cvn lbs 3likom nes lkol,3.0
77,ala yarahme,3.0
78,rabi yfathalek,3.0
79,rabi yarhmou,3.0
80,yekhi mouch aka chouha esana3 ta3 mohsen lmou9aouel wakteli janet tged fl balas wlh houa,3.0
81,amine,3.0
82,allh yarhmik ya sofyen,3.0
83,allah yar7amhom sofwen el chaari kadija esouwisi,3.0
84,allah yarhmek ya sboui,3.0
85,kol 3am w houma hayyin balf alf 5ir nw rabbi yirhmik ya sab3oun w yij3al mithwebik il janna yarabbi nemin,3.0
86,me non arbie i love chfli hal have good yers,4.0
87,allah yar7mo w yna3mo,3.0
88,hh matansawach layk,3.0
89,bilehi chkoun fhem chnya maktoub fil war9a li khaletha zinouba l slimen yfahemni hh,3.0
90,ni parce que tounsi ama mawloud w n3iche fi fransa meli ena touled w kol sif nji vacances fi tounes,3.0
91,hh tawa slimen may najamech ibadel chemise fi darou mechi yofrek feha howa w dadou,3.0
92,lea 9atlou w n9ordhellk zeeda hh,3.0
93,mapanha,3.0
94,m7lha,3.0
95,akkari hh wmtwath3a zeda,3.0
96,bravo marwoucha 3,3.0
97,a7la marwa 3,3.0
98,tatati ma7lek 3,3.0
99,mahleha,3.0
100,isalem 9raytek fi masreh,3.0
101,c vrai klemek marwa walah lemra etheb etra rou7a mezyena walaw nhar,3.0
102,natnak a3la atrann,3.0
103,mahlek marwa,3.0
104,manajem n9olek kan rabi iberek,3.0
105,ba9lewa,3.0
106,flower,2.0
107,mabannek ya marwa el ageerbi zyent ma7la 5achmek,3.0
108,mahlek,3.0
109,me7leeha je l adore depuis longtemps,3.0
110,ma7leha w 9adechha cincere w spontané thebbl,3.0
111,mahlaha,3.0
112,a5le9 3alia,3.0
113,dhahkethe ki peka,3.0
114,machala 3leha adorable,3.0
115,et surtout bnetik,1.0
116,ena nraha fi barnemej mounawa3at 3le carthage plus haja de qualité masab,3.0
117,mahlaha elle est très spontanée,4.0
118,mahleeha tbarkallah zin w thakafa w khfifet rouh,3.0
119,maret chkoun kenet,3.0
120,ma7leha farou7a,3.0
121,hethi hia l no9adma lmilyena tha9afa w zin w ana9a l exemple de la femme tunisienne,4.0
122,yesser thkeya fanena fi ettaswi9 el klem fan w jamel w thke w taswi9,3.0
123,el ouedi programme tayara tdhakartou haïfa kenet treeés jalouse m en farah,3.0
124,ma7laha,3.0
125,maryouma c est une belle femme w nhesek hnina love you meriem bon continuation w matasma3 klem hata wehed,4.0
126,ya sallou77777777a ya salyy hh,3.0
127,meriem a forte personnalité je t en courage,1.0
128,hassen souidi iheb mbarki normalement,3.0
129,tounes ya tounes,3.0
130,inti w nawfil,3.0
131,nhabha bezaf,3.0
132,hahaha yar7em weldik ya naoufel,3.0
133,maryouma je t adore 7ab ihantlik mais bravo t forte bravo ma belle,3.0
134,vous avez raison,1.0
135,elle parait franche je trouve qu elle n est pas hypocrite,1.0
136,wlahi nhebk,3.0
137,maou san3oha fi 9anet 9,3.0
138,walah jawi behy,3.0
139,honnetement dhahra 3a9la w khatiha sakhfetni dhaher 3anet m nes,3.0
140,ena melli choftha awel me dhohret fel tv wel nes lkoll y attakiw feha mais kont dima n7ess li heya au fond tofla 7nina w malgre lebes 3leha mais bent baballah melezemch no7kmou 3al nes belli nchoufouh mais t3allmou 7essou chwaya taw ta3rfouh el ensen au fond chnoua,3.0
141,nhesha sad9a fi kol chay,3.0
142,ta3mel apparance bch liboite litemchilha tet3raf li hiya tasher feha c d la pub en bref,3.0
143,merci y3aychekk,4.0
144,menıch bech nseb nawfel malgré nakrhou maıs cette foıs ci tla3 rajel w sla5ha b bous3ada,3.0
145,ta raison,1.0
146,bravo très juste,1.0
147,bey klemek 3jebni oui es7i7 eli 9olto,3.0
148,eli 3ejbetou el commentaires ya3mel abonnée fi chaîne mte3i,3.0
149,exactement,1.0
