,text,label
0,ana fil ghorba w sout el athan ahla haja 3ijbitni saha likom ou allah yarahmou sbou3i,3
1,man eheb rasoule mohamed,3
2,rabi yerhmou sofiane cha3ri,3
3,rabi yarahmak ya sbou3i wou yarham kol om mita,3
4,merci beaucoup salime,1
5,tomson et banane,1
6,2020 winkom hh,3
7,chkoun 9a3ed ytfrj fi e5r nhar ta3 2019,3
8,ahh alah yarhmou,3
9,31 decembre 2019 n3amkom mabrouk nés lkoll,3
10,belehi noumrou l7al9a,3
11,sa7a bitch hh,4
12,lwataniya lyoum be like,4
13,chkoun jy mn ras 2020,3
14,2004 de choufli hal une bonne partie,1
15,chkoun bch yetfarej 3lih ghodwaa hh,3
16,2020 ya3ml lik hh,3
17,qui aime choufli hal laik,4
18,qui love sbou3i allah yarhmou jem,4
19,mezelna mad8anech lil 2020,3
20,rourou a3malouli abonner mela,3
21,éli y7ébe rabi y7ote lake,3
22,men mestir inti,3
23,chkoun y7eb sbou3i ya3mel abonne lel cont dyeli,3
24,j aime beaucoup sbou3i et j ai été très malheureuse quand il est mort,1
25,yé 7asra,3
26,alah yar7mou w ena3mou sbou3i,3
27,hot jaime ida thaib sboui,3
28,lah yarhmek sofiane cha3ri sbou3i tahiya min algérie nmout ala choufli hal kamla,3
29,allah yarahmik ya sboui ili yheb sboui yhot jaime,3
30,allah yarahmik ya sboui,3
31,rabi yar7méke y a sbou3i éli y7ébou y7ôte lake,3
32,wlh a7la mosalsel,3
33,chron eli yab sboi se lui qui leme fait un layer,4
34,allah yarahmek yalkhoo,3
35,wahdik ya sbou3i allh yrhmik bravo pour toujours choufli hal,3
36,yahahamke,3
37,ili y7b choufli 7al ya3mel j aime,3
38,a7la mousalsel,3
39,tfarajt 3liih foukk 5 maratt,3
40,taw mech el tigani ga y3adi 3an sliman,3
41,choufli,3
42,ili yheb choufli hal ydayer jem,3
43,alahi yar7mek ya sofien eche3ri,3
44,allah yarhemk a sbou3i,3
45,allah yar7mk y sofyan cha3ri,3
46,allh y a rhmek,3
47,rabi yar7mek y r7mek,3
48,chkoun ytfrg aout 2019,3
49,rabi yarhmek ya sbou3i,3
50,alah yar7mek ya sbou3i,3
51,allah yarhmou,3
52,allah yarmik ya sboui et kadiga,3
53,waaw,3
54,allah yar7mek yasofien a7la moumathel fi tunis w 5ir min kamel twati el maset,3
55,bravo toop,1
56,raby yar7mou,3
57,mahleha lamma,3
58,alh yr7mk ya sofyn,3
59,allah yarahmek sab3ouna,3
60,aminn,3
61,alah yarahmek ya sbou3i,3
62,alla yarahmek ye sbou3i 9adekch iddahek,3
63,nitfarig 3lih min lzaz,3
64,ana toujour netfarege fih,3
65,ech3on yetfaraj fi 2020,3
66,the best of the best rabi yhrmek sab3oun,3
67,bravo,1
68,rabi yarhmou sab3oun ahsene momatel tounsi,3
69,allah yarhmou slimenne,3
70,sab3oun ya katcout alla yarhmek,3
71,allah yarhmek ya sab3oun,3
72,3adit tol 3omry natfrj fi chof hal w 3omry mani badh nansh w dim na3wd fih w mafdtch mano,3
73,tbarkallah 3la zaineb,3
74,à la yarhmik,3
75,allah yarahmik,3
76,cvn lbs 3likom nes lkol,3
77,ala yarahme,3
78,rabi yfathalek,3
79,rabi yarhmou,3
80,yekhi mouch aka chouha esana3 ta3 mohsen lmou9aouel wakteli janet tged fl balas wlh houa,3
81,amine,3
82,allh yarhmik ya sofyen,3
83,allah yar7amhom sofwen el chaari kadija esouwisi,3
84,allah yarhmek ya sboui,3
85,kol 3am w houma hayyin balf alf 5ir nw rabbi yirhmik ya sab3oun w yij3al mithwebik il janna yarabbi nemin,3
86,me non arbie i love chfli hal have good yers,4
87,allah yar7mo w yna3mo,3
88,hh matansawach layk,3
89,bilehi chkoun fhem chnya maktoub fil war9a li khaletha zinouba l slimen yfahemni hh,3
90,ni parce que tounsi ama mawloud w n3iche fi fransa meli ena touled w kol sif nji vacances fi tounes,3
91,hh tawa slimen may najamech ibadel chemise fi darou mechi yofrek feha howa w dadou,3
92,lea 9atlou w n9ordhellk zeeda hh,3
93,mapanha,3
94,m7lha,3
95,akkari hh wmtwath3a zeda,3
96,bravo marwoucha 3,3
97,a7la marwa 3,3
98,tatati ma7lek 3,3
99,mahleha,3
100,isalem 9raytek fi masreh,3
101,c vrai klemek marwa walah lemra etheb etra rou7a mezyena walaw nhar,3
102,natnak a3la atrann,3
103,mahlek marwa,3
104,manajem n9olek kan rabi iberek,3
105,ba9lewa,3
106,flower,2
107,mabannek ya marwa el ageerbi zyent ma7la 5achmek,3
108,mahlek,3
109,me7leeha je l adore depuis longtemps,3
110,ma7leha w 9adechha cincere w spontané thebbl,3
111,mahlaha,3
112,a5le9 3alia,3
113,dhahkethe ki peka,3
114,machala 3leha adorable,3
115,et surtout bnetik,1
116,ena nraha fi barnemej mounawa3at 3le carthage plus haja de qualité masab,3
117,mahlaha elle est très spontanée,4
118,mahleeha tbarkallah zin w thakafa w khfifet rouh,3
119,maret chkoun kenet,3
120,ma7leha farou7a,3
121,hethi hia l no9adma lmilyena tha9afa w zin w ana9a l exemple de la femme tunisienne,4
122,yesser thkeya fanena fi ettaswi9 el klem fan w jamel w thke w taswi9,3
123,el ouedi programme tayara tdhakartou haïfa kenet treeés jalouse m en farah,3
124,ma7laha,3
125,maryouma c est une belle femme w nhesek hnina love you meriem bon continuation w matasma3 klem hata wehed,4
126,ya sallou77777777a ya salyy hh,3
