,text
0,"

1. "
1,"Salut! أهلاً وسهلاً, how are you doing today?
2. "
2,"J'adore le thé à la menthe الشاي بالنعناع , it's so refreshing!"
3," 
3. "
4,"مرحبا! Bonjour, did you finish your homework yet?"
5,
6,"

1. "
7,Je suis allé à la mosquée et j'ai prié الصلاة en arabe.
8,"
2. "
9,"J'aime bien écouter de la musique française, mais je préfère encore plus l'arabe أغاني."
10," 
3. "
11,"Lorsque je voyage au Maroc, je parle souvent un mélange d'anglais et d'arabe دردشة مع ال"
12,"

1. "
13,"Ahlan wa sahlan! Salut tout le monde, je suis ici pour apprendre à parler اللغة العربية!"
14,"

2. "
15,"Je veux dire, أنا متعلم فرنسي والإنجليزية aussi."
16," 

3. "
17,C'est vraiment cool d'être capable de communiquer en utilisant les trois langues!
18,
19,"

1. "
20,La vie est trop courte pour ne pas en profiter! حياة قصيرة لتفوتها!
21,"
2. "
22,Je veux apprendre le français et l'arabe parce que je veux voyager وأريد أن تعلم الفرنسية والعربية لأنني أريد السفر
23,"
3"
24,"

1. "
25,"Habibi, j'ai besoin que tu m'aides avec cette tâche arabe-anglaise!"
26,"
2. "
27,Je comprends pas bien le français-arabe
28," 
3. "
29,Trouve la solution pour ce problème anglo-français s'il te plait!
30,
31,"

1. "
32,"Toujours khalass, y'a rien qui va nous arrêter"
33,"  - Always let it go, nothing can stop us!
2. "
34,Inshallah 3la el-kheir
35," - God willing for the best! 
3. "
36,C'est la vie c'est comme ça
37," - That's life, that's how it is!"
38,"

1. "
39,"Je veux aller à la mosquée, mais j'ai oublié mon hijab حجاب!"
40," 
2. "
41,J'adore écouter les chansons arabes الأغاني العربية et apprendre le dialecte.
42," 
3. "
43,Je suis entrain de lire un livre en anglais sur la culture marocaine مغربية et je trouve ça très int
44,"

1. "
45,"Ma soeur et moi, on adore aller au marche chaque dimanche pour acheter des légumes frais. أحب أن أذهب مع اختي الى السوق كل يوم أحد لشراء الخضار الطازجة"
46,"

2. "
47,Je voudrais apprendre à parler arabe mie
48,"

1. "
49,"أنا جالية في الفرنسية واللغة العربية ، لذا شعوري متماسك مع كلاهما!

2. "
50,"Je suis bilingue en français et en arabe, donc je me sens connecté aux deux!"
51,"

3. "
52,وأنا متقدم في
53,"

1. "
54,Mabrook! Tu as réussi ton examen!
55," (Congratulations, you passed your exam!) 
2. "
56,أنا بالفعل مستعدة لاستخدام الآيباد فورا
57," (I'm already ready to use the iPad right away) 
3. "
58,Il est temps pour nous de commencer à parler anglais!
59, (It's time for us to start talking in English!)
60,"

1. "
61,"Je parle anglais, arabe et français - I speak English, Arabic and French!"
62,"
2. "
63,Ya Allah! C'est une surprise incroyable - Oh God! It's an amazing surprise!
64," 
3. "
65,Bienvenue à ma famille et mes amis à Paris – Welcome to my family and friends in Paris!
66,
67,"

1. "
68,"أنا سعيدة لذلك يا مواليد! J'étais tellement contente pour toi, mon amour!"
69," 

2. "
70,براحتك ربنا نسمعها! Que Dieu bénisse ta santé!
71," 

3. "
72,هذا القلب الخاص بي مواليد ومن الم
73,"

1. "
74,"Ça va bien? Je vais bien, je suis الحمد لله بخير!"
75,"

2. "
76,"Je peux parler un peu d'arabe maintenant, mais c'est encore difficile pour moi - يبدو أنّ ما قلته مستعجل."
77,"

3. "
78,"J'aime apprendre les langues, ça me per"
79,"

1. "
80,"مرحبا كيف حالك؟ استمتع الليلة! Je vais bien, merci et toi? Have a great night!"
81,"
2. "
82,هل يمكنني مساعدتك؟ Puis-je t'aider s'il te plait?
83,"
3. "
84,واجهت مشاكل في إعداد ال
85,"

1. "
86,"Wesh, tu sais quoi? J'ai acheté un nouveau أحذية النساء hier!"
87," 
2. "
88,Je suis tellement excité de voir mon مولد في le weekend!
89," 
3. "
90,"Mais avant ça, je dois finir ces devoirs! إنها مشكلة واضحة."
91,
92,"

1. "
93,"Ma famille et moi, nous allons au magasin pour acheter des fruits بيتزا والفواكه للعربي."
94,"

2. "
95,Je me sens si bien quand je parle français et arabe مرحبا كيف الحال ؟
96,"

3. "
97,"I love learning languages like French and Arabic, c'est tellement amusant!"
98,
99,"

1. "
100,I had a great time at the fête اليوم - it was so much fun!
101,"
2. "
102,My mom أرسلتني لشراء البضائع and I ended up speaking some French with the shopkeeper!
103,"
3. "
104,I'm so excited to go back to school next week - إنا هنكتب مقالة in English literature class!
105,
106,"

1. “Wa jama3na bezaf 3al arabic, frensh w english!” 
2. “J'adore apprendre les deux langues, Arabic et Français!” 
3. “Let's go mli7 la7d f English, Arabic w Frensh yawm?”"
107,"

1. "
108,سوف نذهب إلى المتجر لاشتراك العطلة! On va aller au magasin pour acheter des vacances!
109,"

2. "
110,"اليوم سنتعلم كيف تنطبق Aujourd'hui, on va apprendre comment appliquer!"
111,"

3. "
112,هل يمكنني
113,"

1. "
114,Salut tout le monde! أهلا وسهلا مع الجميع!
115," 
2. "
116,"I'm so excited for this weekend, كنت متحمسة لهذا الاسبوع"
117," 
3. "
118,"This is going to be fun, سيكون هذا متعة!"
119,
120,"

1. "
121,"Bon, j'ai besoin de le dire en arabe: إني كلمتك !"
122,"
2. "
123,Je veux juste parler anglais pour un moment: I need to speak out!
124,"
3. "
125,"C'est vraiment difficile à expliquer en français et en arabe, mais أود الحقايق الصريحة"
126,
127,"

1) "
128,Nous devons travailler ensemble ، لأن التعاون هو السبيل لرفع مستوى المجتمع
129,"

2) "
130,It's time to start learning Arabic والاستمرار في تعلم الفرنسية كثيرا!
131,"

3) "
132,"Let's get together and practice our languages, English, French and Arabic"
133,"

1. "
134,"S'il vous plaît, أنا لا أتكلم الإنجليزية كما يريدون مني Please, I don't speak English as they want me to."
135,"
2. "
136,هذه مبادرة رائعة! C'est une excellente initiative!
137,"
3. "
138,العالم لديه القدرة ع
139,"

1. "
140,I'm so excited to be visiting my family in Morocco يسعدني ان أزور اسرتي في المغرب this summer! J'espère que je pourrai apprendre du Darija et goûter à la cuisine traditionnelle.
141,"

2. "
